用户,是否看过,评分,评论时间,有用数,评论,
弄樱,看过,力荐,2016/3/5 12:02,53,觉得动画越来越适合表达抽象主题了，真是人类演员没法做到的。觉得会是年度动画片+政治片最佳。,
古尔齐亚,看过,力荐,2016/3/13 18:41,60,水獭对政府效率的比喻简直可以给满分,
狗骨头,看过,力荐,2016/3/4 23:06,58,我只能说，妈呀，也太好看了！从冰雪奇缘开始，迪士尼就不满足于只做普通的童话故事了，里面剧情各种反转，结局意想不到！,
baochen,看过,推荐,2018/2/12 19:09,70,很療癒的電影,
嘟嘟熊之父,看过,还行,2016/3/6 17:10,22,民主党可以直接拿去当竞选视频，可阶级这回事真的不是单纯一个乌托邦就能解释的。剖析人性难，煽动人心易，要说这片子好过千与千寻，我真的想一头撞死。,
bamboo,看过,力荐,2016/3/12 23:30,17,又一次美国梦的歌颂以及多数人暴政的反讽（上一次还是蝙蝠侠？）,
有心打扰,看过,力荐,2016/3/5 23:30,15,1.好玩有趣，寓教于乐；2.黑暗料理上面覆盖一层奶油冰淇淋；3.没有人的世界却到处有人的影子！,
結,看过,还行,2016/3/12 10:03,11,中规中矩的商业电影。有必要这么叫好吗，黄色字幕差评看不清楚！,
沈贵人的酒,看过,力荐,2018/3/6 22:44,63,树懒承包了我所有的笑点！！！我也想像兔子警官一样执着追梦，即使困难重重，也勇敢向前,
囧之女神daisy,看过,推荐,2016/5/22 22:06,36,是挺好的，但被你们说的太神了吧····,
温言,看过,力荐,2016/3/5 22:03,45,我只想知道，如果移民动物城，我可以嫁给狐狸嘛？！？,
相逢何必不认识,看过,较差,2018/1/17 21:15,77,树懒英俊潇洒打两颗星……剩下的一文不值。推荐泥萌去看了不起的狐狸爸爸，哈哈。,
小波福娃,看过,力荐,2016/3/12 21:14,35,1)zootopia其实不是动物乌托邦，应该是动物园乌托邦，区别在于动物园本身包含了一种秩序格局和权力分配；2)明明是反刻板印象的动画片，各种笑点全部都要靠刻板印象来制造；3)兔子不是警察嘛，居然当了黑帮老大女儿的教母，黑白两道通吃，细思极恐。政治正确能拍这么有趣也是难得，很好看。,
小痕呀,看过,力荐,2018/4/4 22:16,20,是那种在电影院哈哈哈哈哈哈完，回家咂摸咂摸还挺有深意的那种喜剧动画片，我很喜欢，里面每个动物都塑造的非常立体，可以说是人类社会的一部分影射。,
齐木楠雄,看过,推荐,2016/3/8 15:36,22,总体来讲还可以，但没有觉得值得接近满分这么高分啊，没觉得比其他好莱坞动画好多少，为何如此受到迷之追捧……狐狸挺苏的，兔子说食肉动物本性和最后开走整个火车头差点导致证据全毁的时候真是猪队友，树懒的部分最好笑,
甜椒Oli,看过,推荐,2017/4/2 11:47,16,天知道那时候我有多讨厌动画片。可是我小姨不厌其烦一遍遍的看,
新桥妖妖,看过,推荐,2017/4/18 13:55,9,超级喜欢树懒，萌萌哒憨憨哒，小盆友看了也知道有梦想就该去追。,
.L.,看过,还行,2016/3/17 13:02,18,很一般啊 就是美国动画片水平 不知道为什么评分高得那么离谱,
远子,看过,还行,2016/3/17 19:56,17,好莱坞的动画片细节总是很耐看，也做得越来越精致。但主题似乎永远是主旋律的，给人一种量产品的感觉……,
风信子,看过,力荐,2018/3/30 7:35,36,超级温暖超级励志超级治愈，心情不好时的观看最佳选择。,
慕詩,看过,力荐,2016/9/26 14:45,19,适合跟小朋友一起看，很萌很可爱，场景效果很好！,
大-燕-威-王,看过,力荐,2017/9/2 16:30,28,这部片子让我想到一个体制内的同事，他的想法是：动画片就是给小孩子看的，而且多数三观不正，他将来绝对不会让自己孩子看动画，要从小给他们进行爱国主义教育。他刚结婚，正在和他媳妇备孕。讲真，我真同情他们未出生的孩子。,
橘猫爱吃鱼,看过,力荐,2018/3/29 10:11,30,一部非常具有现实意义的动画片，情节很有张力，值得一看。,
美神经,看过,力荐,2017/8/1 22:50,18,最喜欢兔子朱迪了🐰,
百骨金titi,看过,推荐,2017/12/20 8:35,61,在网上看过，很萌很搞笑，喜欢😊,
绿酱（已带电,看过,力荐,2016/3/6 16:51,12,超好看的呀！看看人家这主旋律片拍的，阻碍民族大融合的必须原罪了。怀揣梦想来北漂(？！)的妞儿遇上nyc(？！)老炮儿，必须擦出激情火花了呀。,
符小离不是兔妖,看过,力荐,2018/4/3 10:08,9,超可爱的兔子和狐狸！！我喜欢闪电啊，太搞笑了。,
肖恩恩恩恩肖,看过,力荐,2016/3/6 20:17,26,拍成这样，世界观，故事性，深层寓意全都有趣且无可挑剔。这就是本事。而且本篇逃过了一个窠臼。它没有设定一个感天动地的泪点时刻。全都点到为止，出电影院的时候，觉得自己被当成一个孩子在取悦，同时被当成一个成人在尊重。,
能工巧匠沙门哥,看过,还行,2016/3/8 10:29,163,有一个问题，动物城里的肉食动物们吃什么肉？,
